index,style,windows,vec_size,epochs,path,wordsim_r,wordsim_p_r,wordsim_rho,wordsim_prho,wordsim_coverage,simlex_r,simlex_p_r,simlex_rho,simlex_prho,simlex_coverage,analogy_sem,analogy_sem_coverage,analogy_mor,analogy_mor_coverage,analogy_all,analogy_all_coverage
11,cbow,7,300,7,models/cbow_win-7_vsize-300_ep-7.model,0.37676265084463856,6.073556449993823e-13,0.3946376631055419,3.728087457631049e-14,0.9660056657223796,0.15140162267080476,1.6266235146474732e-06,0.1491245800038676,2.334493601195201e-06,0.994994994994995,0.07909258123850399,0.36779794790844517,0.14218972171440178,0.9223419203747073,0.12648764113518463,0.6706917724109701
12,cbow,9,200,10,models/cbow_win-9_vsize-200_ep-10.model,0.38910378250052213,9.007358079472802e-14,0.39244229601373826,5.3006785800422335e-14,0.9660056657223796,0.14749056406535827,3.0155486455718734e-06,0.14589974707800876,3.858883611297346e-06,0.994994994994995,0.07204169221336604,0.36779794790844517,0.13396303067235427,0.9223419203747073,0.11855355508086665,0.6706917724109701
13,cbow,9,200,5,models/cbow_win-9_vsize-200_ep-5.model,0.36000483893667323,7.1465603966929e-12,0.3598808618959132,7.274250419131604e-12,0.9660056657223796,0.14423809855424136,4.978837372744188e-06,0.1404017578034119,8.870951664345111e-06,0.994994994994995,0.08277130594727161,0.36779794790844517,0.13325208206378225,0.9223419203747073,0.1206896551724138,0.6706917724109701
14,cbow,9,200,7,models/cbow_win-9_vsize-200_ep-7.model,0.3763116589431227,6.5024176260663e-13,0.37527809048188004,7.599958125855453e-13,0.9660056657223796,0.14672749266664337,3.395292194735572e-06,0.1442439903893771,4.974365601610442e-06,0.994994994994995,0.07020232985898221,0.36779794790844517,0.14015843997562463,0.9223419203747073,0.12274946597497711,0.6706917724109701
15,cbow,9,300,10,models/cbow_win-9_vsize-300_ep-10.model,0.3860978573220277,1.4444521623862273e-13,0.3875640051186758,1.147952947379288e-13,0.9660056657223796,0.14104431519402105,8.061361917640108e-06,0.14626209067064713,3.6489429911536625e-06,0.994994994994995,0.07817290006131208,0.36779794790844517,0.14300223440991267,0.9223419203747073,0.12686908758010376,0.6706917724109701
16,cbow,9,300,5,models/cbow_win-9_vsize-300_ep-5.model,0.36043459541639716,6.720636982610781e-12,0.3750129758454836,7.909465433027106e-13,0.9660056657223796,0.1490540768870258,2.3605544626278294e-06,0.14651919339382566,3.5066580301893723e-06,0.994994994994995,0.0806253832004905,0.36779794790844517,0.1357911842372537,0.9223419203747073,0.12206286237412267,0.6706917724109701
17,cbow,9,300,7,models/cbow_win-9_vsize-300_ep-7.model,0.3817239224386913,2.847272766089257e-13,0.3914797422454061,6.18000547059e-14,0.9660056657223796,0.1518946850963284,1.503165030807252e-06,0.15102031471133004,1.7287143271127e-06,0.994994994994995,0.07725321888412018,0.36779794790844517,0.1321348771074548,0.9223419203747073,0.11847726579188282,0.6706917724109701
18,skipgram,5,200,10,models/skipgram_win-5_vsize-200_ep-10.model,0.4341905780890717,4.1302641915023807e-17,0.45017448847527863,2.0282279819776047e-18,0.9660056657223796,0.20657090327764427,4.846674450534931e-11,0.18969335284080788,1.6611039967296722e-09,0.994994994994995,0.06591048436541999,0.36779794790844517,0.05525086329473898,0.9223419203747073,0.057903570338724446,0.6706917724109701
19,skipgram,5,200,5,models/skipgram_win-5_vsize-200_ep-5.model,0.43661122005923425,2.643430098782991e-17,0.4530158455115895,1.1672125304200027e-18,0.9660056657223796,0.22536982729655541,6.519507095388543e-13,0.22269338514005124,1.23363470308711e-12,0.994994994994995,0.060392397302268544,0.36779794790844517,0.06266504164127565,0.9223419203747073,0.06209948123283491,0.6706917724109701
20,skipgram,5,200,7,models/skipgram_win-5_vsize-200_ep-7.model,0.4614439416644477,2.198013409131199e-19,0.4922311727753197,3.2814678974636947e-22,0.9660056657223796,0.21610385935678578,5.729143266034276e-12,0.21075230985911045,1.923540719155684e-11,0.994994994994995,0.06437768240343347,0.36779794790844517,0.05525086329473898,0.9223419203747073,0.05752212389380531,0.6706917724109701
21,skipgram,5,300,10,models/skipgram_win-5_vsize-300_ep-10.model,0.44309746014748713,7.854948446201326e-18,0.4626459228290961,1.7257253446980996e-19,0.9660056657223796,0.22169679561940006,1.5610472902394862e-12,0.21773312257893213,3.9371076601768255e-12,0.994994994994995,0.05947271612507664,0.36779794790844517,0.0385943530367662,0.9223419203747073,0.04379005187671651,0.6706917724109701
22,skipgram,5,300,5,models/skipgram_win-5_vsize-300_ep-5.model,0.4404167507742851,1.3011467837699288e-17,0.4650591923617736,1.058730028761484e-19,0.9660056657223796,0.2628329871521682,3.617863960434829e-17,0.2578265580997546,1.475346610373072e-16,0.994994994994995,0.05027590435315757,0.36779794790844517,0.04377412147064798,0.9223419203747073,0.04539212694537687,0.6706917724109701
23,skipgram,5,300,7,models/skipgram_win-5_vsize-300_ep-7.model,0.4270355245955635,1.513078473249499e-16,0.4706411265554911,3.3690567160308906e-20,0.9660056657223796,0.2330813823351378,9.915509972805e-14,0.22555236155675376,6.240167566165985e-13,0.994994994994995,0.060085836909871244,0.36779794790844517,0.04113345521023766,0.9223419203747073,0.04584986267927983,0.6706917724109701
24,skipgram,7,200,10,models/skipgram_win-7_vsize-200_ep-10.model,0.4660383788965282,8.67381113011001e-20,0.48981593606782875,5.60050645725518e-22,0.9660056657223796,0.1820665556956855,7.411906223051588e-09,0.173275777205089,3.84641979007385e-08,0.994994994994995,0.06345800122624157,0.36779794790844517,0.054438350599228115,0.9223419203747073,0.05668294171498322,0.6706917724109701
25,skipgram,7,200,5,models/skipgram_win-7_vsize-200_ep-5.model,0.4493994736290643,2.356038106041188e-18,0.47946012256530074,5.2851504634940445e-21,0.9660056657223796,0.2137313386176229,9.84024747873143e-12,0.20451399939337678,7.581944445779725e-11,0.994994994994995,0.05824647455548743,0.36779794790844517,0.04895388990452976,0.9223419203747073,0.05126640219713152,0.6706917724109701
26,skipgram,7,200,7,models/skipgram_win-7_vsize-200_ep-7.model,0.4754599675149321,1.232617237353277e-20,0.5045248047902297,2.020175982245293e-23,0.9660056657223796,0.20336731208415765,9.710426203044291e-11,0.1939333208896529,7.03881472652314e-10,0.994994994994995,0.05947271612507664,0.36779794790844517,0.0500710948608572,0.9223419203747073,0.052410741531888926,0.6706917724109701
27,skipgram,7,300,10,models/skipgram_win-7_vsize-300_ep-10.model,0.4681210581635198,5.664234432007816e-20,0.5176894412840769,8.9831741017942e-25,0.9660056657223796,0.20872569305407046,3.017694584166293e-11,0.2042577336607425,8.014018178783908e-11,0.994994994994995,0.05548743102391171,0.36779794790844517,0.033211456429006705,0.9223419203747073,0.03875495880378395,0.6706917724109701
28,skipgram,7,300,5,models/skipgram_win-7_vsize-300_ep-5.model,0.43460030773126934,3.8307297115225753e-17,0.4661158678788721,8.53781713348726e-20,0.9660056657223796,0.23337688994376604,9.21261576246728e-14,0.22645489395914245,5.022473585856449e-13,0.994994994994995,0.05548743102391171,0.36779794790844517,0.03463335364615072,0.9223419203747073,0.03982300884955752,0.6706917724109701
29,skipgram,7,300,7,models/skipgram_win-7_vsize-300_ep-7.model,0.45678345889724814,5.565187101709482e-19,0.5005627633948136,5.022598291871293e-23,0.9660056657223796,0.20141373190812278,1.4752347858062408e-10,0.20332218595250448,9.805149936351153e-11,0.994994994994995,0.054261189454322505,0.36779794790844517,0.03432866138533414,0.9223419203747073,0.03928898382667074,0.6706917724109701
